Register, Page, Address, Value
DIAG_STAT,0,2,0
X_GYRO_LOW,0,4,-684758
X_GYRO_OUT,0,6,-11
Y_GYRO_LOW,0,8,918909
Y_GYRO_OUT,0,10,14
Z_GYRO_LOW,0,12,-606933
Z_GYRO_OUT,0,14,-10
X_ACCL_LOW,0,16,273135
X_ACCL_OUT,0,18,4
Y_ACCL_LOW,0,20,1560509
Y_ACCL_OUT,0,22,23
Z_ACCL_LOW,0,24,263198832
Z_ACCL_OUT,0,26,4016
TEMP_OUT,0,28,253
TIME_STAMP,0,30,0
DATA_CNTR,0,34,22824
X_DELTANG_LOW,0,36,-409
X_DELTANG_OUT,0,38,-1
Y_DELTANG_LOW,0,40,560
Y_DELTANG_OUT,0,42,0
Z_DELTANG_LOW,0,44,-385
Z_DELTANG_OUT,0,46,-1
X_DELTVEL_LOW,0,48,107
X_DELTVEL_OUT,0,50,0
Y_DELTVEL_LOW,0,52,646
Y_DELTVEL_OUT,0,54,0
Z_DELTVEL_LOW,0,56,105711
Z_DELTVEL_OUT,0,58,1
XG_BIAS_LOW,0,64,0
XG_BIAS_HIGH,0,66,0
YG_BIAS_LOW,0,68,0
YG_BIAS_HIGH,0,70,0
ZG_BIAS_LOW,0,72,0
ZG_BIAS_HIGH,0,74,0
XA_BIAS_LOW,0,76,0
XA_BIAS_HIGH,0,78,0
YA_BIAS_LOW,0,80,0
YA_BIAS_HIGH,0,82,0
ZA_BIAS_LOW,0,84,0
ZA_BIAS_HIGH,0,86,0
FILT_CTRL,0,92,0
RANG_MDL,0,94,7
MSC_CTRL,0,96,193
UP_SCALE,0,98,2000
DEC_RATE,0,100,0
FIRM_REV,0,108,263
FIRM_DM,0,110,771
FIRM_Y,0,112,8225
PROD_ID,0,114,16505
SERIAL_NUM,0,116,3822
USER_SCR_1,0,118,0
USER_SCR_2,0,120,0
USER_SCR_3,0,122,0
FLSHCNT_LOW,0,124,26
FLSHCNT_HIGH,0,126,0
